,title,primaryCategory.categoryId,primaryCategory.categoryName,predictCategory
82,【UNUSED In Box】 Minolta M-Rokkor 90mm F/4 Leica M For CL CLE From Japan 592,3323,Lenses,Viewfinders & Eyecups
83,Canon 50mm f1.8 Leica Screw Mount LTM L39 From Japan [Exc] #82520A,3323,Lenses,Lenses
84,[MINT + Hood] Canon 50mm f/1.4 L39 Leica Screw Mount LTM Lens Camera Japan 693,3323,Lenses,Lenses
85,CANON Front lens Cap for 50mm F1.4 leica screw mount  #64138,79001,Lens Caps,Lens Caps
86,Genuine Leica I.D about 45mm silver Lens Front Cap for Summarit 5cm F1.5 etc.,79001,Lens Caps,Lens Caps
87,Canon 50mm F/1.8 Leica Screw Mount LTM 39 Lens.From Japan#2197,3323,Lenses,Lens Caps
88,"""EXC+++++"" Minolta M Rokkor 40mm f/2 for CL CLE Leica L mount From Japan #5148",3323,Lenses,"Lens Adapters, Mounts & Tubes"
89,[TOP MINT IN BOX] Leica R6.2 Black 35mm Film Camera Strap Manual From Japan 757,15230,Film Cameras,Film Cameras
90,【Exc+++】 Canon Model 7 35mm Rangefinder Body Leica Screw mount From JAPAN #1507,15230,Film Cameras,Film Cameras
91,Leica Minilux Zoom 35mm Compact Film Camera #23182 D1,15230,Film Cameras,Film Cameras
92,Canon model IId 2d Leica screw mount Rangefinder 35mm Film camera Body JAPAN,15230,Film Cameras,Film Cameras
93,LEICA MINILUX ZOOM 35mm Film Camera Body 35-70mm F3.5-6.5 with Box #190630b,15230,Film Cameras,Film Cameras
94,[Excellent +++] Leica Winder M 14403 + 14402 for Leica M From Japan,29970,Motor Drives & Winders,Viewfinders & Eyecups
95,""" Near Mint "" Leica MC Light Meter For M2 M3 M4 M4-2 M4-P From Japan #151",88668,Light Meters,Light Meters
96,Voigtlander Color Skopar 35mm f/2.5 II P MF Lens For Leica Mount f/Japan Mint,3323,Lenses,"Lens Adapters, Mounts & Tubes"
97,【MINT in BOX】 Leica Leitz Summilux 50mm f/1.4 M Mount Black 2nd E43 JAPAN #099,3323,Lenses,"Lens Adapters, Mounts & Tubes"
98,【NEAR MINT+++】 MINOLTA M-ROKKOR 40mm F2 w/ Hood Leica M Mount for CL CLE JAPAN,3323,Lenses,"Lens Adapters, Mounts & Tubes"
99,"""RARE TOP MINT in BOX""Leica M6 TTL 0.58 JAPAN Model 35mmRangefinder Camera #3026",15230,Film Cameras,Film Cameras
100,【NEAR MINT】Minolta M Rokkor 40mm f/2 for Leica Leitz M Mount CL CLE from Japan,3323,Lenses,"Lens Adapters, Mounts & Tubes"
101,【NEAR MINT】 Leica Minilux 35mm Point & Shoot Film Camera From Japan #653,15230,Film Cameras,Film Cameras
102,[Exc+++++] MINOLTA M-ROKKOR-QF 40mm F2 M Mount Lens Leica CL CLE from Japan 1089,3323,Lenses,Lenses
103,Panasonic LUMIX LEICA DG SUMMILUX 25mm/F1.4 ASPH. H-X025 F/S from JAPAN,3323,Lenses,Viewfinders & Eyecups
104,【EXC+++++!!】 Voigtlander Ultron 35mm f/ 1.7 Aspherical Leica L L39 Mount #0839,3323,Lenses,"Lens Adapters, Mounts & Tubes"
105,APPEARANCE MINT Leica IIIF Red Dial Camera W/ Summitar 5cm 50mm f/2 from Japan,15230,Film Cameras,Digital Cameras
106,Leica Genuine Strap for M6 M7 M8 M9 M10 R4 R5 R6 R8-#Kasai-1-Excellent,64343,Straps & Hand Grips,Straps & Hand Grips
107,CANON 50mm/F3.5 collapsible Leica 39mm screw mount #22031,3323,Lenses,"Lens Adapters, Mounts & Tubes"
108,*BOX* LEITZ MINOLTA CL RANGEFINDER CAMERA LEICA M MOUNT BATTERY ADAPTER JAPAN,15230,Film Cameras,"Lens Adapters, Mounts & Tubes"
109,Panasonic Leica DG Summilux 15mm F/1.7 ASPH. Lens for M4/3 With Box #21987,3323,Lenses,Lens Hoods
110,Leica Summicron-M 35mm F/2 ASPH. E39 6-Bit Lens for Leica M With Box #21439,3323,Lenses,"Lens Adapters, Mounts & Tubes"
111,[For Parts or Repair] Ricoh GXR mount A12 Leica M mount From Japan #8023,31388,Digital Cameras,Digital Cameras
112,[NEAR MINT] Leica Summilux-R 50mm f/1.4 [R only] Lens from japan #268,3323,Lenses,Viewfinders & Eyecups
113,Canon Universal Finder for 35-135mm LEICA Rangefinder from Japan,88668,Light Meters,Viewfinders & Eyecups
114,Voigtlander Heliar 50mm f/3.5 101th Lens for Leica L39  << Excellent >>,3323,Lenses,Lenses
115,[AB- Exc]Nikon W-NIKKOR 2.8cm 28mm f/3.5 Lens Leica L39 Screw Nippon Kogaku 5713,3323,Lenses,Lenses
116,[MINT]Voigtlander Color-Skopar 35mm F/2.5 Lens for Leica M #4062,3323,Lenses,"Lens Adapters, Mounts & Tubes"
117,[Top Mint] Leica M6 0.72 Black 35mm Rangefinder Film Camera From Japan #2247,15230,Film Cameras,Film Cameras
118,Nippon Kogaku Japan NIKKOR-S.C 5cm 50mm f1.4 f/1.4 Leica screw mount,3323,Lenses,"Lens Adapters, Mounts & Tubes"
119,*Excellent* Leica Leitz Elmarit M 135mm f/2.8 Lens from Japan #2964,3323,Lenses,Viewfinders & Eyecups
120,"""TOP MINT""Carl Zeiss Planar T* 50mm f/2 ZM with HOOD in BLACK  for LEICA M #3031",3323,Lenses,Lens Hoods
121,[MINT]Carl Zeiss Biogon T* 28mm F/2.8 ZM Lens for Leica M w/Box #4230,3323,Lenses,"Lens Adapters, Mounts & Tubes"
122,"Leica Elmarit-R 35mm f/2.8 E55 GERMANY  R-Mount ""Excellent++"" #2649",3323,Lenses,"Lens Adapters, Mounts & Tubes"
123,[AB- Exc] Leica APO-EXTENDER-R 1.4x for APO-TELYT 280mm f/2.8 From JAPAN 5639,3323,Lenses,Viewfinders & Eyecups
124,nicca lens Hood for  Leica screw NIKKOR-H.C. 5cm 50mm f2 f/2 #33092,78999,Lens Hoods,Lens Hoods
125,[Rare Black] AVENON SUPER WIDE 21mm f/2.8 Lens Leica L39 Screw Finder JAPAN 5745,3323,Lenses,Lenses
126,NICCA Lens Cap for 50mm F2 NIKKOR H.C. leica screw mount  #151733 50mm,79001,Lens Caps,Lens Caps
127,[Rare N Mint] Canon Lens 85mm F1.9 Leica Screw Mount L39 LTM w/85mm Finder Japan,3323,Lenses,Lenses
128,【EXC+++++】Minolta CL Rangefinder Film Camera 40mm f/2 Leica M Mount From JAPAN,15230,Film Cameras,Film Cameras
129,"Leica Leitz Macro-Elmarit-R 60mm f/2.8 2 Cam ""VERY GOOD"" #2987",3323,Lenses,"Lens Adapters, Mounts & Tubes"
130,"Leica M3  High serial number 35mm Rangefinder Film Camera ""VERY GOOD"" #2712",15230,Film Cameras,Film Cameras
131,【Excellent+++++】Leica Minilux Zoom Date 35mm Rangefinder Film Camera-#1438,15230,Film Cameras,Film Cameras
132,[Excellent+++++] Leica Leitz Wetzlar Summicron-C 40mm f/2 Lens From Japan 754,3323,Lenses,Viewfinders & Eyecups
133,【MINT】 Voigtlander Apo Lanthar 90mm f/3.5 MC Silver Leica Screw From Japan 145,3323,Lenses,Viewfinders & Eyecups
134,[NearMint] Voigtlander Colore Skopar 25mm F/4 P Leica M W/Hood (280-W381),3323,Lenses,"Lens Adapters, Mounts & Tubes"
135,【Exc+】Voigtlander Color Skopar 35mm F2.5 MC Black Lens for Leica L39  458804,3323,Lenses,Lenses
136,【 Near Mint+++ 】 Leica R3 Electronic 35mm SLR Film Camera Body from JAPAN #890,15230,Film Cameras,Film Cameras
137,【EXC+5】 Canon 50mm f/1.4 Lens For Leica L Screw Mount L39 LTM From JAPAN #053,3323,Lenses,Lenses
138,Leica SF20 [EXCELLENT] from Japan (14834),48515,Flashes,Viewfinders & Eyecups
139,VOIGTLANDER NOKTON CLASSIC 40mm F1.4 S.C. VM MF Lens for Leica M Mount #190814a,3323,Lenses,"Lens Adapters, Mounts & Tubes"
140,"Leica M3  35mm Rangefinder Film Camera Single Strocke ""VERY GOOD"" #3099",15230,Film Cameras,Film Cameras
141,[Excellent] Leica Leitz Genuine Camera Leather Case Made in Germany k236,107894,"Cases, Bags & Covers","Cases, Bags & Covers"
142,【Excellent】Canon 50mm F/1.2 Leica Screw Mount L39 Lens from JAPAN,3323,Lenses,Lenses
143,"Canon 35mm F2.8 Leica Screw Mount LTM L39 Lens ""MINT"" From Japan#4101",3323,Lenses,Lenses
144,LEICA ELMAR-M 135mm F2.8 Late Model with Goggle Finder M mount #190730c,3323,Lenses,"Lens Adapters, Mounts & Tubes"
145,"""APP Excellent++++(AS IS)"" Canon 100mm F/3.5 Leica Screw L39 Mount From JP #0911",3323,Lenses,Lenses
146,Canon 50mm F/1.8 Lens Leica Screw Mount LTM L39 from Japan 328106 MINT-,3323,Lenses,Lenses
147,【Overhauled MINT】Leica M3 Single Stroke 35mm Rangefinder Film Camera Japan 1320,15230,Film Cameras,Film Cameras
148,【APPEARANCE MINT】 Canon 50mm f/1.4 L39 LTM Leica Screw Manual Lens Japan 1738,3323,Lenses,Lenses
149,Excellent+++++ Canon 100mm f/3.5 Leica Screw Mount L39 Lens Finder From Japan,3323,Lenses,Lenses
150,Leica SUPER-ANGULON-M　21mm　F3.4　278xxxx　(NN-410),3323,Lenses,"Lens Adapters, Mounts & Tubes"
151,Rare! Mint Leica M6 TTL 0.85 35mm Film Rangefinder w/ Box From Japan F/S #2468,15230,Film Cameras,Film Cameras
152,◉NEAR MINT◉ MOUNT ADAPTER FOR NIKON F MOUNT LENS TO LEICA M MOUNT BODY #56,30059,"Lens Adapters, Mounts & Tubes","Lens Adapters, Mounts & Tubes"
153,"【Exc++++】 Leica M6 Black TTL 0.85 Rangefinder Film Camera body, Strap From JAPAN",15230,Film Cameras,Film Cameras
154,**Excellent** Leica Genuine Strap for M6 M7 M8 M9 M10 R4 R5 R6 R8-#Kasai-2,64343,Straps & Hand Grips,Straps & Hand Grips
155,"""TOP MINT in BOX""Konica M-Hexanon 90mm f/2.8 For Leica M-Mount  #3052",3323,Lenses,"Lens Adapters, Mounts & Tubes"
156,Sale!!【EXC+5】 Leica Leitz Summaron 35mm F/2.8 Lens  From JAPAN,3323,Lenses,Viewfinders & Eyecups
157,[MINT] Canon 100mm F/2 for M39 L39 LTM Leica Screw Mount From JAPAN #077,3323,Lenses,Lenses
158,Carl Zeiss Biogon f2.0 35mm ZM lens for Leica M Mount (561-W4),3323,Lenses,"Lens Adapters, Mounts & Tubes"
159,[NEAR MINT] Leica Mini Elmar II 35mm F/3.5 w/ Leather Case Film Camera Japan 730,15230,Film Cameras,"Cases, Bags & Covers"
160,Canon 50mm F/0.95 Lens Modified to Leica M #22650 F5,3323,Lenses,"Lens Adapters, Mounts & Tubes"
161,Leica M6 Camera Case For M6 Body - Black,107894,"Cases, Bags & Covers","Cases, Bags & Covers"
162,【Excellent++++】Canon FL 19mm 3.5 for Leica L mount with View Finders from Japan!,3323,Lenses,"Lens Adapters, Mounts & Tubes"
163,【Optical MINT】 Minolta M Rokkor 28mm f2.8 Lens for CLE Leica M mount From JAPAN,3323,Lenses,"Lens Adapters, Mounts & Tubes"
164,[ Near Mint ] LEICA 14405 Hand Grip M Handle Black M2 M3 M4 M5 M6 From Japan,64343,Straps & Hand Grips,Straps & Hand Grips
165,Excellent-!! Leica M3 Single Stroke 35mm Rangefinder Film Camera from Japan,15230,Film Cameras,Film Cameras
166,【EXC+5 IN BOX】LEITZ LEICA  APO-TELYT-R 180mm F3.4 R Mount canada From JAPAN #95,3323,Lenses,"Lens Adapters, Mounts & Tubes"
167,Leica Leitz Telyt-R 250mm F/4 3-Cam Lens for Leica R #21476 G4,3323,Lenses,"Lens Adapters, Mounts & Tubes"
168,【NEAR MINT+++】LEICA ERNST LEITZ GMBH WETZLAR ELMAR 5CM 50mm F/2.8 LEICA M MOUNT,3323,Lenses,"Lens Adapters, Mounts & Tubes"
169,"""EXCELLENT"" Leica SUMMICRON-M 50mm F2 MF Lens for M Mount #190818t",3323,Lenses,"Lens Adapters, Mounts & Tubes"
170,"Nikkor P C 10.5cm f2.5  Leica LTM39 mount Lens ""Exc++"" w.Hood,From JP#8165",3323,Lenses,"Lens Adapters, Mounts & Tubes"
171,[Near Mint] Leica minilux Point & Shoot 35mm Film Camera Summarit 40mm f/2.4,15230,Film Cameras,Film Cameras
172,【MINT++】 Minolta M-Rokkor 90mm F4 MF Lens for CL CLE Leica M Mount From Japan,3323,Lenses,"Lens Adapters, Mounts & Tubes"
173,[Almost Unused] Voigtlander Nokton Classic 40mm f1.4 SC VM Leica M Lens JAPAN,3323,Lenses,"Lens Adapters, Mounts & Tubes"
174,Leica M6 Titan Titanium 0.72 Rangefinder Camera,15230,Film Cameras,Film Cameras
175,Minolta CLE 35mm Film Rangefinder Leica M Mount Camera From Japan F/S #1019,15230,Film Cameras,Film Cameras
176,【Excellent++】Voigtlander COLOR SKOPAR 35mm F2.5 PII Lens for Leica M  477388,3323,Lenses,"Lens Adapters, Mounts & Tubes"
177,"""RARE TOP MINT in Box""Leica M6 TTL 0.85 35mm Rangefinder Camera  in Black #3064",15230,Film Cameras,Film Cameras
178,[ Mint ] Leica Minilux Black Film Camera Summarit 40mm F2.4 Strap from JAPAN,15230,Film Cameras,Film Cameras
179,N mint Carl Zeiss Biogon 28mm f2.8 T* ZM For Leica M w/ Cap From Japan F/S #1554,3323,Lenses,Viewfinders & Eyecups
180,LEICA M3 SS Single Stroke 35mm Rangefinder Film Camera Silver Body #190712e,15230,Film Cameras,Film Cameras
181,【NEAR MINT】 Leica M6 Black 0.72 Rangefinder Film Camera Body w/ Strap From JAPAN,15230,Film Cameras,Film Cameras
182,【MINT】  Minolta M-Rokkor 40mm F/2 Lens For Leica M CL CLE w/Hood From Japan #124,3323,Lenses,Lenses
183,[NearMint] Konica M-Hexanon 28mm F/2.8 Lens for Leica M (399-W694),3323,Lenses,"Lens Adapters, Mounts & Tubes"
184,Leica Leitz Canada Summilux 35mm F/1.4 Lens for Leica M #21549 C1,3323,Lenses,"Lens Adapters, Mounts & Tubes"
185,Leica M3 35mm Rangefinder Film Camera *Double Stroke* #22355 D2,15230,Film Cameras,Film Cameras
186,"""EXCELLENT"" LEICA MINILUX 35mm Film Camera Body w/ SUMMARIT 40mm F2.4 #190824c",15230,Film Cameras,Film Cameras
187,[Excellent] Leica Camera Genuine Original Leather Brown Case  Bag Cover k209,107894,"Cases, Bags & Covers","Cases, Bags & Covers"
188,MINT Leica 50mm f/2 Summicron M built in hood silver,3323,Lenses,"Lens Adapters, Mounts & Tubes"
189,【NEAR MINT】Canon S-50 Metal Lens Hood for 50mm f1.4 Leica L-Mount From JAPAN 935,78999,Lens Hoods,Lens Hoods
190,"Leica Summicron-M 50mm F/2.0 GERMANY BLACK for M6 M7 MP etc""Excellent++"" #2811",3323,Lenses,Straps & Hand Grips
191,【Near MINT】 Leica Meter MR Chrome For M2 M3 M4 M4-2 M4-P From JAPAN #s171,88668,Light Meters,Light Meters
192,1017# ** Rareitem ** LEICA IIIF body red dial,15230,Film Cameras,"Lens Adapters, Mounts & Tubes"
193,Leica Leitz Summicron-M 50mm F/2 Lens for Leica M #20472 G1,3323,Lenses,"Lens Adapters, Mounts & Tubes"
194,"【Almost Mint】 Leica Elmarit M 28mm F/2.8 E49 Ver III Canada Lens,Hood From JAPAN",3323,Lenses,Viewfinders & Eyecups
195,"【N.MINT+3】 LEICA Leitz R4 35mm SLR Film Camera Black Body W/ Cap, Protect Cover",15230,Film Cameras,Film Cameras
196,【Mint】 Leica M6 Black 0.72 Non TTL Rangefinder Film Camera Body Only From JAPAN,15230,Film Cameras,Film Cameras
197,【MINT】 LEICA C3 Compact 35mm Camera Vario Elmar 28-80mm ASPH From JAPAN #0823,15230,Film Cameras,Digital Cameras
198,Canon 35mm F/2.8 Chrome Lens Leica Screw Mount LTM L39 from Japan Exc++,3323,Lenses,Lenses
199,[Ex5] Nikon Nikkor Nippon Kogaku H.C 5cm 50mm f/2 Black belt LTM39 Leica JAPAN,3323,Lenses,Digital Cameras
200,Leica Diopter Correction Lens M -1.0 14356,167930,Viewfinders & Eyecups,"Lens Adapters, Mounts & Tubes"
201,Canon 50mm f/1.8 L39 Leica Screw Mount LTM **EXC+++++** From Japan,3323,Lenses,Lenses
202,LEICA M6 NON TTL Chrome 35mm Rangefinder Film Camera Body w/ Case #190825b,15230,Film Cameras,Film Cameras
203,【 EXC+++++ 】  Leica MC Light Meter For M2 M3 M4 M4-2 M4-P From Japan #706,88668,Light Meters,Light Meters
204,【Mint】Voigtlander COLOR SKOPAR 35mm F2.5 PII Lens for Leica M w/Box 448370,3323,Lenses,"Lens Adapters, Mounts & Tubes"
205,[Exc+++++] LEICA Ernst Leitz Wetzlar Summaron Lens 3.5cm F3.5 M mount from Japan,3323,Lenses,"Lens Adapters, Mounts & Tubes"
206,[NEAR MINT] Leica meter MR BLACK  for M2 M3 M4 Fully working from Japan #9156,88668,Light Meters,Light Meters
207,MINT Voigtlander Color Skopar 35mm f/2.5 PII Lens For Leica M mount From JAPAN,3323,Lenses,"Lens Adapters, Mounts & Tubes"
